Type,Name,Status,DEFCON,Genre,No of Pages,Score /5,Author,Publisher,Publishing/Release Year,Summary,Purchase Date,Start Date,End Date,Total Time,Book Type 1,Notes Availability,Completed Year
Book,Crushing It,Yet to start,2,Entrepreneurship,271,,Gary Vaynerchuk,Harper Collins Publishers,,"How Great Entrepreneur build their Business and Influence and how you can,Too",,,,,Paperback,,
Book,Think & Grow Rich,Yet to start,2,Self Help,271,,Napoleon Hill,Fingerprint Classics,,The secret to freedom and success,,,,,Paperback,,
Book,What you do is who you are,Yet to start,1,"Business, Entrepreneurship",273,,Ben Horowitz,William Collins,,How to create your business culture,,,,,Hardcover,,
Book,Rework,Yet to start,1,Startup,273,,"David Heinemeier Hansson, Jason Fried",Vermillion,2010,Change the way you work forever,,,,,Paperback,,
Book,Never Split the Difference,Yet to start,1,Entrepreneurship,275,,Chris Voss,,,,,,,,Ebook,,
Book,The Making of a Manager,Yet to start,1,Entrepreneurship,276,,Julie Zhuo,Virgin Books,,What to do when everyone looks to you,,,,,Ebook,,
Book,So Good They can't Ignore You,Yet to start,1,"Productivity, Self Help",276,,Cal Newport,,,Why skills trump pain in the quest for work you love,,,,,Ebook,,
Book,Straight Talk for Startups,Yet to start,1,Startup,278,,"Jantoon Reigersman, Randy Komisar",Harper Collins Publishers,,"100 insider rules for beating the odds from mastering the fundamentals to selecting investors, fundraising, managing boards, and achieving liquidity",,,,,Hardcover,No,
Book,Product-Led Growth,Yet to start,1,Startup,278,,Wes Bush,Product-Led Growth,,How to build a product that sells itself,,,,,Ebook,,
Book,Radical Condor,Yet to start,1,"Entrepreneurship, Startup",280,,Kim Scott,Pan Books,2019,How to get what you want by saying what you mean,"October 4, 2021",,,,Paperback,,
Book,No Shortcuts,Yet to start,1,Startup,280,,Nistha Tripathi,,,Rare insight from 15 successful startup founders,,,,,Ebook,,
Book,The New Rule of Business,Yet to start,1,"Business, Entrepreneurship, Startup",286,,Rajesh Srivastava,,,Get ahead or left behind,,,,,Ebook,,
Book,23 things they don't tell you about capitalism,Yet to start,2,Economics,287,,Ha-Joon Chang,Penguin Group,,,,,,,Ebook,,
Book,The Start-up J Curve,Yet to start,1,Startup,289,,Howard Love,Green-leaf Group,2016,The six steps to entrepreneurial success,"April 15, 2021",,,,Ebook,Yes,
Book,Swipe to Unlock,Yet to start,1,"Business, Startup",292,,"Aditya Agashe, Neel Mehta, Parth Detroja",Belle Applications,,The primer on technology and business strategy,,,,,Ebook,,
Book,The Productivity Project,Yet to start,2,Productivity,293,,Chris Bailey,,,Proven ways to become awesome,,,,,Ebook,,
